"id","name","year","scope1_intensity","scope2_intensity","scope3_intensity","scope_1","scope_2","scope_3","energy_cons","waste","waste_recycled","water_cons","waste_water","renewable_energy_pct","waste_recycled_pct","fuel_fleet","donations","donations_pct","contrib_political","legal_spending","fines_spending","employees","employee_turnover","female_pct","female_mgmt_pct","employee_parental_pct","employee_tenure","employee_under30_pct","employee_over50_pct","training_spending"
58,United Internet AG,2020,,,,640.61,418.86,,745055.532,,,,,,,,,,,,,9638.0,,31.78,,,,23.17,16.63,
60,Zalando SE,2020,,,,8497.0,1124.0,4500473.0,,25167000,23606.0,,,,,,,,,,,14194.0,,46.4,,,,,,
60,Zalando SE,2021,,,,7690.0,2414.0,5578964.0,659005.2,31019000,29275.0,,,,,,,,,,,17043.0,,47.2,,,,,,
14,Deutsche Lufthansa AG,2019,,,,33349293,199817.0,10588707,,,,,,,,,,,,,,138353.0,,45.4,16.9,,,,,
14,Deutsche Lufthansa AG,2016,,,,29250821,275161.0,8774221.0,,,,,,,,,,,,,,124306.0,,45.0,,,,,,
14,Deutsche Lufthansa AG,2018,,,,32790778,194059.0,11089327,,,,,,,,,,,,,,135534.0,,46.1,,,,,,
14,Deutsche Lufthansa AG,2017,,,,28949145,256232.0,10678859,,,,,,,,,,,,,,129424.0,,45.7,,,,,,
84,Linde,2020,,,,17909068.1,23114128.700000003,15876426.9,249397200,90600000,,73700000,,,,,,,,,,74207.0,,27.0,20.0,,,,,
84,Linde,2019,,,,18144960.3,24526175,16988647.6,248893200,91000000,,82900000,,,,,,,,,,79886.0,,27.0,19.0,,,,,
35,Metro AG,2021,,,,435830.0,652791.0,2795970.0,7491427.2,,,,,5.089641664007627,,1.8970091999999998,6.889,,,,,95141.0,,48.8,,,,,,
79,Hannover Re,2020,,,,23.94,1858.58,1771.62,,,,,,,,,,,,,,3218.0,,51.52268489745183,18.0,,,,,
35,Metro AG,2020,,,,453269.0,692034.0,1380826.0,7519680.0,,,,,3.7376005361930296,,1.7979408,,,,,,97639.0,,48.2,,,,,,
35,Metro AG,2019,,,,464532.0,732162.0,2714477.0,7950607.2,,,,,3.4607168116669125,,1.8855431999999999,,,,,,101654.0,,48.5,,,,,,
76,E.ON,2021,,,,4089574.9601000003,4299014.109,110650009.2978,,569200000,,52500000,,,90.8,,,,,,,69733.0,,32.0,,,,,,
76,E.ON,2019,,,,4232875.4304,5313140.5142,132574981.2537,,576600000,,47300000,,,91.3,,,,,,,75659.0,,33.0,,,,,,
39,ProSiebenSat.1 Media SE,2020,,,,1599.0,2188.0,5797.0,16178400,23000.0,,,,,,,,,,,,7159.0,13.6,59.8,31.9,,,,,
39,ProSiebenSat.1 Media SE,2021,,,,1615.0,2036.0,5495.0,120348.0,17000.0,,,,,,,,,,,,7383.0,16.5,61.3,32.0,,,24.0,11.0,
72,Deutsche Bank,2021,,,,32991.0,47068.0,1992706.0,2552112.0,12168068.91762,,1007336.0,,,,,,,,,,82969.0,,46.6,,,,14.7,30.2,
72,Deutsche Bank,2020,,,,39408.0,81959.0,1912705.0,2693238.0,12163532.99392,,1302633.0,,,,,,,,,,84659.0,,46.4,,,,14.9,29.6,
72,Deutsche Bank,2019,,,,50273.0,104671.0,2127013.0,3209506.0,15626257.14,,1711257.0,,,,,,,,,,87597.0,,46.3,,,,15.1,29.2,
82,Henkel,2021,,,,343000.0,132000.0,11586000,8820000.0,97068795,,8117000.0,3378000.0,,,399600.0,,,,,,52450.0,,36.7,38.1,,,14.8,24.6,
82,Henkel,2018,,,,353000.0,329000.0,11938000,9054000.0,113398125,,8359000.0,3544000.0,,,370800.0,,,,,,53000.0,,34.4,34.7,,,16.1,24.0,
82,Henkel,2019,,,,351000.0,315000.0,11618000,8935200.0,102511905,,8324000.0,3485000.0,,,410400.0,,,,,,52450.0,,35.5,35.7,,,15.3,24.6,
82,Henkel,2020,,,,345000.0,191000.0,11766000,8719200.0,95254425,,8231000.0,3616000.0,,,399600.0,,,,,,52950.0,,36.1,36.9,,,15.1,24.8,
82,Henkel,2017,,,,375000.0,344000.0,13157000,9208800.0,112490940,,8654000.0,3423000.0,,,410400.0,,,,,,53700.0,,34.3,34.5,,,16.9,22.8,
86,Merck,2016,,,,861500.0,1040100.0,7975100.0,20913432,65860723.815,,20700000,,,,,,,,,,68000.0,,23.0,,,,,,
83,Infineon Technologies,2020,,,,191245.55,1421706.38,,1874.61,,,,,,,0.00205,,,,,,46665.0,,31.648987463837997,,,,,,
83,Infineon Technologies,2021,,,,251638.43,1845256.73,,2437.06,,,,1943109.0,,,0.00216,,,,,,50288.0,,35.787861915367486,,,,,,
86,Merck,2017,,,,806200.0,931100.0,6586100.0,19418800,65703780.809999995,,19700000,,,,,,,,,,69000.0,,23.0,,,,,,
86,Merck,2018,,,,800000.0,832300.0,6239800.0,19313900,67068187.05,,20600000,,,,,,,,,,69000.0,,33.0,,,,,,
86,Merck,2019,,,,799000.0,732200.0,6965600.0,18674800,68492467.5,,20400000,,,,,,,,,,71000.0,,46.0,,,,,,
86,Merck,2020,,,,738400.0,647800.0,7103450.0,18033385,70377597.92999999,,20500000,,,,,,,,,,74000.0,,46.0,,,,,,
99,Vonovia,2020,,,,466848.0,410369.0,35085.0,16376223.6,519402000,330859074,53200000,,,63.7,,,,,,,10622.0,14.215778572773488,24.722274524571645,25.9,,,14.074562229335342,27.603087930709847,3500000.0
99,Vonovia,2019,,,,571744.0,466892.0,37292.0,15545646,485828000,306071640,45200000,,,63.0,,,,,,,10059.0,17.824833482453524,23.869171885873346,23.9,,,,,
93,SAP,2021,,,,110000.0,,,3387600.0,,,,,100.0,,,,,,,,107415.0,9.0,34.3,28.3,,,,,
93,SAP,2020,,,,135000.0,,,3164400.0,,,,,100.0,,,,,,,,102430.0,7.0,33.6,27.5,,,,,
93,SAP,2019,,,,300000.0,,,4014000.0,,,,,100.0,,,,,,,,100330.0,10.7,33.5,26.4,,,,,
92,RWE,2021,,,,95790852.83900002,2976240.5370000005,25022466.737,924000000,,,168000000,,,,,,,,,,18246.0,,15.7,19.0,,,14.0,44.300000000000004,
92,RWE,2020,,,,77382253.96200001,3417165.061,21935995.069,804000000,,,155000000,,,,,,,,,,19498.0,,14.7,16.6,,,13.5,45.9,
92,RWE,2019,,,,,,,934000000,,,,,,,,,,,,,17287.0,,12.8,15.8,,,12.899999999999999,53.1,
78,Fresenius Medical Care,2021,,,,262600.0,502900.0,,9360000.000000002,,,41400000,,,,,,,,,,122909.0,,69.0,59.0,,7.6,16.0,26.0,
78,Fresenius Medical Care,2020,,,,242200.0,527200.0,,9000000.0,,,41700000,,,,,,,,,,125364.0,,69.0,,,7.3,17.0,25.0,
78,Fresenius Medical Care,2019,,,,227300.0,547200.0,,8640000.0,,,43200000,,,,,,,,,,120659.0,,69.0,,,6.8,18.0,26.0,
78,Fresenius Medical Care,2018,,,,218700.0,557200.0,,8640000.0,,,42100000,,,,,,,,,,112658.0,,69.0,,,7.0,16.0,27.0,
11,Commerzbank AG,2019,,,,28314.0,12262.0,43372.0,,,,,,,,,,,,,,,,,,,,,,
12,CompuGroup Medical SE,2021,,,,,,,,,,,,,,,,,,,,8598.0,,36.0,,,,22.0,20.0,
11,Commerzbank AG,2020,,,,37001.0,15093.0,71794.0,,,,,,,,,,,,,,,,,,,,,,
1,Aareal Bank AG,2021,,,,1615.0,2036.0,5495.0,50965.0,,,,,,,,,,,,,3170.0,16.5,36.6,24.3,,,,,
1,Aareal Bank AG,2020,,,,1599.0,2188.0,5797.0,49093.0,,,,,,,,,,,,,2982.0,13.6,37.6,24.6,,,,,
31,Kion Group AG,2021,,,,110291.0,90689.0,20000000,2271351.0,76307000,,583800.0,472900.0,,64.0832426907099,,,,,,,39602.0,,17.1,,,,18.4,26.700000000000003,
89,Porsche,2021,,,,7656.0,1434.0,27574.0,1559840.4000000001,21755000,,694992.0,,,,,,,,,,36996.0,,18.4,,,,20.0,20.1,
89,Porsche,2020,,,,25656.0,1315.0,28753.0,1225177.2,20787000,,,,,,,,,,,,36359.0,,18.1,,,,22.6,19.8,
89,Porsche,2019,,,,56267.0,1418.0,74157.0,1177628.4000000001,23995000,,,,,,,,,,,,35429.0,,18.2,,,,23.9,19.7,
33,Lanxess AG,2020,,,,1490.0,1687.0,,28500000,1795100.0,,,,,,,,,,,,14756.0,9.72,23.4,,,,11.148007590132828,41.40010843046896,
40,Puma SE,2019,,,,6326.0,40986.0,250240.0,289400.4,3644000.0,,89676000,,,44.0,,,,,,,,,,41.0,,,,,
40,Puma SE,2021,,,,4046.0,32545.0,264005.0,319197.60000000003,5215000.0,,116829000,,,43.0,,,,,,,14846.0,,45.65,44.0,,,,,
40,Puma SE,2020,,,,4179.0,29839.0,211108.0,282060.0,3949000.0,,96569000,,,36.0,,,,,,,13016.0,,30.2,43.0,,,,,
98,Volkswagen Group,2021,,,,522495.56137608,266759.33724264,,79056000,83330000,,,,,,,,,,,,672789.0,,17.9,,,,18.0,26.000000000000004,
98,Volkswagen Group,2020,,,,478403.10893928,308647.1670576,,77832000,99443000,,,,,,,,,,,,662575.0,,17.0,,,,19.5,24.7,
95,Siemens,2021,,,,425492.166046,229280.752688,517282731.224281,9863000.0,275500000,253460000,15000000,,46.4,92.0,,,,,,,303000.0,9.7,26.7,19.6,,,,,
95,Siemens,2020,,,,467379.995864,278884.761683,559633531.792901,10416000,397500000,369675000,15300000,,39.4,93.0,,,,,,,293000.0,8.4,26.2,18.4,,,,,
76,E.ON,2020,,,,4321060.3352,4949377.7819,119006741.570041,,511900000,,46400000,,,86.1,,,,,,,74866.0,,32.0,,,,,,
78,Fresenius Medical Care,2017,,,,325724.0,529824.0,,10159200,,,35700000,,,,,,,,,,114000.0,,69.0,,,,18.0,26.0,
16,Evonik Industries AG,2021,,,,4826000.0,5468000.0,,282168960,429105600,,599700000,4517.95,,,59570000,,,,369.0,,33004.0,7.0,26.9,,,,,,
16,Evonik Industries AG,2020,,,,4860000.0,5431000.0,,267650480,450878400,,561400000,11768.84,,,58500000,,,,367.0,,,4.4,26.9,,,,,,
16,Evonik Industries AG,2019,,,,4923000.0,5486000.0,,,453600000,,523600000,14187.36,,,,,,,325.0,,,5.2,26.1,,,,,,
